#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   8.30804     4.99754e+01     7.97220e+02     4.79620e+01     1.65116e+00
   8.33258     4.98633e+01     7.94220e+02     4.80762e+01     4.64843e+00
   8.35713     4.96805e+01     7.87871e+02     4.77531e+01     3.78558e+00
   8.38167     4.93913e+01     7.86146e+02     4.74828e+01     7.02483e+00
   8.40621     4.91861e+01     7.83986e+02     4.72593e+01     7.87828e+00
   8.43076     4.90649e+01     7.77430e+02     4.69402e+01     3.47833e+00
   8.45530     4.88546e+01     7.71478e+02     4.66786e+01     5.74955e+00
   8.47985     4.86241e+01     7.66430e+02     4.66581e+01     4.87767e+00
   8.50439     4.84427e+01     7.61489e+02     4.62516e+01     4.67867e+00
   8.52893     4.82508e+01     7.55689e+02     4.59571e+01     3.75879e+00
   8.55348     4.80817e+01     7.54047e+02     4.61505e+01     5.38154e+00
   8.57802     4.78514e+01     7.47664e+02     4.55894e+01     2.90556e+00
   8.60256     4.76358e+01     7.43195e+02     4.53489e+01     2.36004e+00
   8.62711     4.74390e+01     7.40087e+02     4.50800e+01     3.03330e+00
   8.65165     4.72997e+01     7.35228e+02     4.52851e+01     4.54663e+00
   8.67620     4.70639e+01     7.31610e+02     4.52972e+01     5.40061e+00
   8.70074     4.68550e+01     7.29378e+02     4.46418e+01     2.42981e+00
   8.72528     4.67639e+01     7.26153e+02     4.45552e+01     3.47504e+00
   8.74983     4.65809e+01     7.21335e+02     4.42534e+01     3.30623e+00
   8.77437     4.62907e+01     7.15118e+02     4.43032e+01     5.80651e+00
   8.79891     4.61551e+01     7.12907e+02     4.39051e+01     5.49036e+00
   8.82346     4.59539e+01     7.08788e+02     4.37478e+01     3.96549e+00
   8.84800     4.56473e+01     7.07822e+02     4.36525e+01     4.29746e+00
   8.87254     4.55619e+01     7.03321e+02     4.34784e+01     2.89524e+00
   8.89709     4.52440e+01     6.99713e+02     4.32175e+01     3.72549e+00
   8.92163     4.49818e+01     6.97060e+02     4.29816e+01     3.86284e+00
