#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   1.27320     1.23449e+02     1.99906e+03     1.36889e+02     8.30454e+01
   1.27934     1.22621e+02     1.99045e+03     1.35739e+02     7.92455e+01
   1.28548     1.22013e+02     1.96579e+03     1.35471e+02     7.51161e+01
   1.29161     1.21510e+02     1.95389e+03     1.33879e+02     7.99438e+01
   1.29775     1.20969e+02     1.92699e+03     1.32174e+02     7.62150e+01
   1.30388     1.20269e+02     1.92016e+03     1.32294e+02     7.36900e+01
   1.31002     1.19989e+02     1.90470e+03     1.30498e+02     7.27124e+01
   1.31616     1.19072e+02     1.89027e+03     1.30938e+02     7.63475e+01
   1.32229     1.19159e+02     1.88968e+03     1.30990e+02     7.25661e+01
   1.32843     1.17947e+02     1.87327e+03     1.29278e+02     6.95543e+01
   1.33456     1.17736e+02     1.85252e+03     1.29325e+02     8.03159e+01
   1.34070     1.16828e+02     1.84827e+03     1.29071e+02     7.51647e+01
   1.34684     1.16760e+02     1.83429e+03     1.27180e+02     6.86875e+01
   1.35297     1.15753e+02     1.83227e+03     1.27370e+02     7.73010e+01
   1.35911     1.15438e+02     1.82285e+03     1.26515e+02     7.50624e+01
   1.36524     1.14750e+02     1.81186e+03     1.26153e+02     7.08198e+01
   1.37138     1.13986e+02     1.80648e+03     1.25720e+02     6.97877e+01
   1.37751     1.13117e+02     1.79436e+03     1.24029e+02     6.47901e+01
   1.38365     1.12681e+02     1.78972e+03     1.23288e+02     6.45208e+01
   1.38979     1.12497e+02     1.77702e+03     1.23595e+02     7.29826e+01
   1.39592     1.11597e+02     1.75811e+03     1.22103e+02     5.99055e+01
   1.40206     1.11637e+02     1.74457e+03     1.22674e+02     6.43428e+01
   1.40819     1.11016e+02     1.73021e+03     1.21813e+02     7.08914e+01
   1.41433     1.10734e+02     1.71696e+03     1.21296e+02     6.62237e+01
   1.42047     1.10329e+02     1.70899e+03     1.20583e+02     5.99523e+01
   1.42660     1.09306e+02     1.70686e+03     1.20007e+02     6.70899e+01
   1.43274     1.08985e+02     1.70031e+03     1.19120e+02     6.54945e+01
   1.43887     1.08445e+02     1.69131e+03     1.18577e+02     6.08429e+01
   1.44501     1.07909e+02     1.68675e+03     1.18166e+02     6.63998e+01
   1.45115     1.07251e+02     1.67569e+03     1.16736e+02     6.26967e+01
   1.45728     1.07208e+02     1.67694e+03     1.18577e+02     6.45686e+01
   1.46342     1.06344e+02     1.66308e+03     1.16768e+02     5.95508e+01
   1.46955     1.06035e+02     1.64945e+03     1.15928e+02     5.08575e+01
   1.47569     1.05323e+02     1.64042e+03     1.14980e+02     5.30397e+01
   1.48183     1.04777e+02     1.63234e+03     1.15384e+02     5.71727e+01
   1.48796     1.04359e+02     1.62412e+03     1.14297e+02     5.68227e+01
   1.49410     1.03830e+02     1.60783e+03     1.13393e+02     5.73324e+01
   1.50023     1.03605e+02     1.60480e+03     1.13552e+02     5.92504e+01
   1.50637     1.03022e+02     1.59289e+03     1.11284e+02     5.35795e+01
   1.51251     1.02733e+02     1.58585e+03     1.12208e+02     6.16419e+01
   1.51864     1.02108e+02     1.57299e+03     1.10858e+02     5.62723e+01
   1.52478     1.01360e+02     1.56225e+03     1.10640e+02     5.74066e+01
   1.53091     1.01195e+02     1.55095e+03     1.10790e+02     5.82723e+01
   1.53705     1.00603e+02     1.53473e+03     1.09365e+02     5.66488e+01
   1.54318     1.00077e+02     1.52349e+03     1.08249e+02     5.35963e+01
   1.54932     9.94494e+01     1.50838e+03     1.07126e+02     4.80586e+01
   1.55546     9.89600e+01     1.50228e+03     1.07140e+02     5.26550e+01
   1.56159     9.87413e+01     1.49207e+03     1.06683e+02     5.31640e+01
   1.56773     9.85183e+01     1.49279e+03     1.06849e+02     4.89924e+01
   1.57386     9.77946e+01     1.48313e+03     1.05713e+02     5.14605e+01
   1.58000     9.73192e+01     1.47820e+03     1.04766e+02     4.87352e+01
   1.58614     9.71372e+01     1.46940e+03     1.05054e+02     5.38492e+01
   1.59227     9.66764e+01     1.46127e+03     1.04770e+02     4.80964e+01
   1.59841     9.60507e+01     1.45508e+03     1.03796e+02     5.35256e+01
   1.60454     9.57291e+01     1.45018e+03     1.03268e+02     4.91103e+01
   1.61068     9.53936e+01     1.44717e+03     1.02673e+02     4.92437e+01
   1.61682     9.49137e+01     1.43365e+03     1.01978e+02     4.69873e+01
   1.62295     9.46946e+01     1.41842e+03     1.02669e+02     4.62047e+01
   1.62909     9.40590e+01     1.40888e+03     1.01460e+02     4.98158e+01
   1.63522     9.37105e+01     1.40483e+03     1.00671e+02     4.71562e+01
   1.64136     9.32794e+01     1.39768e+03     1.01248e+02     4.65120e+01
   1.64750     9.25425e+01     1.39167e+03     1.00055e+02     4.72029e+01
   1.65363     9.22863e+01     1.38563e+03     9.95664e+01     4.80203e+01
   1.65977     9.16651e+01     1.37402e+03     9.90535e+01     4.65438e+01
   1.66590     9.11067e+01     1.37209e+03     9.79395e+01     4.31085e+01
   1.67204     9.06848e+01     1.36585e+03     9.75015e+01     4.36548e+01
   1.67817     9.00392e+01     1.35561e+03     9.70897e+01     4.54802e+01
   1.68431     8.98857e+01     1.34331e+03     9.66637e+01     4.18230e+01
   1.69045     8.94445e+01     1.34244e+03     9.65067e+01     4.22159e+01
   1.69658     8.91616e+01     1.33262e+03     9.57755e+01     4.05553e+01
   1.70272     8.88101e+01     1.32628e+03     9.58876e+01     4.24670e+01
   1.70885     8.86144e+01     1.31646e+03     9.52077e+01     4.07952e+01
   1.71499     8.81839e+01     1.30580e+03     9.48091e+01     4.45549e+01
   1.72113     8.73810e+01     1.29759e+03     9.37484e+01     4.02392e+01
   1.72726     8.74201e+01     1.29198e+03     9.35775e+01     3.95056e+01
   1.73340     8.68079e+01     1.28712e+03     9.33794e+01     3.94563e+01
