# ix, iy, iz, dm, h1fid, h1new, lum, uv
3 4 1 2.03057e+06 5.88472e+12 5.88392e+12 2.95188e+13 3.40072e+13
3 4 2 2.07265e+06 6.18293e+12 6.18145e+12 3.23774e+13 3.39399e+13
3 4 3 2.13600e+06 6.64399e+12 6.64027e+12 3.50811e+13 3.45118e+13
3 4 4 2.15214e+06 6.72434e+12 6.71844e+12 3.77240e+13 3.50795e+13
3 4 5 2.13362e+06 6.61559e+12 6.61056e+12 3.76688e+13 3.49249e+13
3 4 6 2.06665e+06 6.14229e+12 6.13721e+12 3.67542e+13 3.50141e+13
3 4 7 2.07663e+06 6.21444e+12 6.20934e+12 3.45160e+13 3.50095e+13
3 5 0 2.15479e+06 6.79050e+12 6.78303e+12 3.84660e+13 3.52375e+13
3 5 1 2.03749e+06 5.92750e+12 5.92468e+12 3.15458e+13 3.43914e+13
3 5 2 2.12184e+06 6.51700e+12 6.51331e+12 3.46696e+13 3.46430e+13
3 5 3 2.07600e+06 6.21227e+12 6.20625e+12 3.62474e+13 3.52114e+13
3 5 4 2.10954e+06 6.42962e+12 6.42401e+12 3.62620e+13 3.50342e+13
3 5 5 2.12205e+06 6.48719e+12 6.48446e+12 3.30172e+13 3.44371e+13
3 5 6 1.99962e+06 5.68641e+12 5.68658e+12 2.94139e+13 3.36534e+13
3 5 7 2.01804e+06 5.80118e+12 5.79859e+12 3.31817e+13 3.42632e+13
3 6 0 2.07978e+06 6.18949e+12 6.18627e+12 3.47399e+13 3.46712e+13
3 6 1 2.00947e+06 5.70176e+12 5.69975e+12 3.29717e+13 3.43634e+13
3 6 2 2.06459e+06 6.08907e+12 6.08812e+12 3.03314e+13 3.40250e+13
3 6 3 2.07092e+06 6.15488e+12 6.14821e+12 3.71689e+13 3.53140e+13
3 6 4 2.03997e+06 5.93755e+12 5.93398e+12 3.31247e+13 3.44774e+13
3 6 5 2.07382e+06 6.13926e+12 6.13760e+12 3.17121e+13 3.42349e+13
3 6 6 2.06511e+06 6.14112e+12 6.13870e+12 3.15882e+13 3.41339e+13
3 6 7 2.10534e+06 6.40914e+12 6.40555e+12 3.48068e+13 3.46142e+13
3 7 0 2.13206e+06 6.60110e+12 6.59587e+12 3.53539e+13 3.48382e+13
3 7 1 2.14047e+06 6.63947e+12 6.63585e+12 3.43717e+13 3.45944e+13
3 7 2 2.09803e+06 6.33828e+12 6.33454e+12 3.27694e+13 3.47513e+13
3 7 3 2.13352e+06 6.60853e+12 6.59822e+12 4.05792e+13 3.60365e+13
3 7 4 2.12843e+06 6.62807e+12 6.61879e+12 3.80761e+13 3.55307e+13
3 7 5 2.07878e+06 6.22588e+12 6.22480e+12 3.13117e+13 3.39282e+13
3 7 6 2.12960e+06 6.58523e+12 6.57996e+12 3.67129e+13 3.48915e+13
3 7 7 2.14654e+06 6.70080e+12 6.69647e+12 3.51975e+13 3.47563e+13
4 0 0 2.12025e+06 6.49645e+12 6.48842e+12 3.83521e+13 3.56815e+13
4 0 1 2.13681e+06 6.63025e+12 6.62403e+12 3.62614e+13 3.50696e+13
4 0 2 2.14944e+06 6.75049e+12 6.74305e+12 3.83211e+13 3.54167e+13
4 0 3 2.07795e+06 6.21605e+12 6.21132e+12 3.36454e+13 3.49221e+13
4 0 4 2.09942e+06 6.38083e+12 6.37822e+12 3.20030e+13 3.42832e+13
4 0 5 2.03581e+06 5.94244e+12 5.93816e+12 3.38362e+13 3.46154e+13
4 0 6 2.10363e+06 6.42262e+12 6.41736e+12 3.39403e+13 3.49289e+13
4 0 7 2.06574e+06 6.13932e+12 6.13206e+12 3.52031e+13 3.54064e+13
4 1 0 2.16829e+06 6.84655e+12 6.83514e+12 3.97681e+13 3.63440e+13
4 1 1 2.07519e+06 6.21090e+12 6.20435e+12 3.70981e+13 3.53669e+13
4 1 2 2.12133e+06 6.50959e+12 6.50427e+12 3.58819e+13 3.50571e+13
4 1 3 2.06876e+06 6.15962e+12 6.15666e+12 3.37241e+13 3.44943e+13
4 1 4 2.08420e+06 6.24289e+12 6.24018e+12 3.33459e+13 3.44504e+13
4 1 5 2.20688e+06 7.14578e+12 7.13443e+12 3.99363e+13 3.60361e+13
4 1 6 2.07447e+06 6.20855e+12 6.20391e+12 3.38971e+13 3.48214e+13
4 1 7 2.13319e+06 6.61420e+12 6.60676e+12 3.61818e+13 3.54636e+13
4 2 0 2.05697e+06 6.05963e+12 6.05458e+12 3.47913e+13 3.50061e+13
4 2 1 2.07138e+06 6.15173e+12 6.15001e+12 3.00790e+13 3.42468e+13
4 2 2 2.15678e+06 6.78833e+12 6.78367e+12 3.63827e+13 3.48754e+13
4 2 3 2.02376e+06 5.84344e+12 5.84251e+12 3.23036e+13 3.38949e+13
4 2 4 2.12345e+06 6.53044e+12 6.52646e+12 3.65512e+13 3.46570e+13
4 2 5 2.22753e+06 7.29505e+12 7.28582e+12 3.94465e+13 3.57732e+13
4 2 6 2.13890e+06 6.64503e+12 6.63914e+12 3.44230e+13 3.51362e+13
4 2 7 2.17279e+06 6.89929e+12 6.89006e+12 3.91976e+13 3.58023e+13
4 3 0 2.12230e+06 6.51801e+12 6.51258e+12 3.56111e+13 3.49387e+13
4 3 1 2.04261e+06 5.97636e+12 5.97453e+12 3.14698e+13 3.41694e+13
4 3 2 2.10078e+06 6.38485e+12 6.38320e+12 3.34963e+13 3.40692e+13
4 3 3 2.03721e+06 5.92023e+12 5.92198e+12 3.03237e+13 3.33458e+13
4 3 4 1.97719e+06 5.52749e+12 5.52736e+12 3.10806e+13 3.37421e+13
4 3 5 2.02287e+06 5.83580e+12 5.83454e+12 3.20033e+13 3.38619e+13
4 3 6 2.13702e+06 6.64406e+12 6.63562e+12 3.88174e+13 3.54976e+13
4 3 7 2.16742e+06 6.85046e+12 6.83964e+12 4.08877e+13 3.63375e+13
4 4 0 2.03578e+06 5.93176e+12 5.92987e+12 3.27839e+13 3.42251e+13
4 4 1 2.15117e+06 6.73552e+12 6.72934e+12 3.99344e+13 3.49975e+13
4 4 2 2.09144e+06 6.29573e+12 6.29462e+12 3.20359e+13 3.39742e+13
4 4 3 2.02797e+06 5.89018e+12 5.89022e+12 3.11889e+13 3.36986e+13
4 4 4 2.00254e+06 5.70252e+12 5.70229e+12 3.05972e+13 3.37523e+13
4 4 5 2.00063e+06 5.70125e+12 5.70282e+12 2.77677e+13 3.32702e+13
4 4 6 2.12668e+06 6.57285e+12 6.56820e+12 3.44637e+13 3.48875e+13
4 4 7 2.11800e+06 6.51195e+12 6.50603e+12 3.61383e+13 3.52258e+13
4 5 0 2.09935e+06 6.33031e+12 6.32794e+12 3.20143e+13 3.43699e+13
4 5 1 2.15257e+06 6.73729e+12 6.73120e+12 3.89236e+13 3.51525e+13
4 5 2 2.10474e+06 6.42651e+12 6.42180e+12 3.51452e+13 3.46458e+13
4 5 3 2.09250e+06 6.34956e+12 6.34345e+12 3.52441e+13 3.49904e+13
4 5 4 2.12574e+06 6.55003e+12 6.54498e+12 3.77193e+13 3.48888e+13
