# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
4.7026e-04 1.7485e-04 -4.0848e-05 6.7249e-05 6.6999e-05 1.8198e-01 3.6343e-01
4.7461e-04 1.8130e-04 -4.2330e-05 6.9747e-05 6.9486e-05 1.8536e-01 3.7018e-01
4.7901e-04 1.8799e-04 -4.3866e-05 7.2339e-05 7.2064e-05 1.8881e-01 3.7705e-01
4.8344e-04 1.9493e-04 -4.5457e-05 7.5026e-05 7.4738e-05 1.9232e-01 3.8405e-01
4.8792e-04 2.0213e-04 -4.7106e-05 7.7814e-05 7.7510e-05 1.9589e-01 3.9118e-01
4.9243e-04 2.0958e-04 -4.8813e-05 8.0704e-05 8.0385e-05 1.9954e-01 3.9845e-01
4.9699e-04 2.1731e-04 -5.0582e-05 8.3702e-05 8.3367e-05 2.0325e-01 4.0584e-01
5.0159e-04 2.2533e-04 -5.2415e-05 8.6810e-05 8.6458e-05 2.0703e-01 4.1338e-01
5.0624e-04 2.3364e-04 -5.4313e-05 9.0034e-05 8.9664e-05 2.1088e-01 4.2105e-01
5.1092e-04 2.4226e-04 -5.6279e-05 9.3377e-05 9.2989e-05 2.1480e-01 4.2887e-01
5.1565e-04 2.5119e-04 -5.8316e-05 9.6844e-05 9.6436e-05 2.1879e-01 4.3683e-01
5.2043e-04 2.6045e-04 -6.0426e-05 1.0044e-04 1.0001e-04 2.2286e-01 4.4494e-01
5.2524e-04 2.7005e-04 -6.2611e-05 1.0417e-04 1.0372e-04 2.2700e-01 4.5320e-01
5.3011e-04 2.8000e-04 -6.4875e-05 1.0803e-04 1.0756e-04 2.3122e-01 4.6161e-01
5.3501e-04 2.9031e-04 -6.7220e-05 1.1204e-04 1.1155e-04 2.3552e-01 4.7017e-01
5.3997e-04 3.0101e-04 -6.9648e-05 1.1620e-04 1.1568e-04 2.3990e-01 4.7890e-01
5.4496e-04 3.1210e-04 -7.2164e-05 1.2051e-04 1.1997e-04 2.4436e-01 4.8779e-01
5.5001e-04 3.2359e-04 -7.4769e-05 1.2499e-04 1.2441e-04 2.4891e-01 4.9684e-01
5.5510e-04 3.3550e-04 -7.7468e-05 1.2962e-04 1.2902e-04 2.5353e-01 5.0606e-01
5.6024e-04 3.4786e-04 -8.0263e-05 1.3443e-04 1.3380e-04 2.5825e-01 5.1545e-01
5.6543e-04 3.6066e-04 -8.3158e-05 1.3942e-04 1.3875e-04 2.6305e-01 5.2502e-01
5.7066e-04 3.7393e-04 -8.6156e-05 1.4459e-04 1.4389e-04 2.6794e-01 5.3476e-01
5.7594e-04 3.8769e-04 -8.9261e-05 1.4995e-04 1.4922e-04 2.7292e-01 5.4468e-01
5.8128e-04 4.0195e-04 -9.2476e-05 1.5551e-04 1.5474e-04 2.7800e-01 5.5479e-01
5.8666e-04 4.1674e-04 -9.5807e-05 1.6128e-04 1.6047e-04 2.8316e-01 5.6508e-01
5.9209e-04 4.3206e-04 -9.9256e-05 1.6726e-04 1.6640e-04 2.8843e-01 5.7556e-01
5.9757e-04 4.4795e-04 -1.0283e-04 1.7346e-04 1.7256e-04 2.9379e-01 5.8624e-01
6.0310e-04 4.6442e-04 -1.0653e-04 1.7989e-04 1.7895e-04 2.9925e-01 5.9711e-01
6.0868e-04 4.8149e-04 -1.1036e-04 1.8656e-04 1.8557e-04 3.0482e-01 6.0819e-01
6.1432e-04 4.9918e-04 -1.1432e-04 1.9347e-04 1.9243e-04 3.1048e-01 6.1947e-01
6.2001e-04 5.1752e-04 -1.1843e-04 2.0064e-04 1.9955e-04 3.1626e-01 6.3096e-01
6.2575e-04 5.3653e-04 -1.2269e-04 2.0808e-04 2.0693e-04 3.2213e-01 6.4266e-01
6.3154e-04 5.5624e-04 -1.2709e-04 2.1578e-04 2.1458e-04 3.2812e-01 6.5458e-01
6.3739e-04 5.7667e-04 -1.3165e-04 2.2378e-04 2.2251e-04 3.3422e-01 6.6672e-01
6.4329e-04 5.9784e-04 -1.3637e-04 2.3207e-04 2.3073e-04 3.4044e-01 6.7908e-01
6.4924e-04 6.1978e-04 -1.4126e-04 2.4066e-04 2.3926e-04 3.4677e-01 6.9167e-01
6.5525e-04 6.4253e-04 -1.4633e-04 2.4957e-04 2.4810e-04 3.5321e-01 7.0450e-01
6.6132e-04 6.6611e-04 -1.5157e-04 2.5881e-04 2.5727e-04 3.5978e-01 7.1756e-01
6.6744e-04 6.9054e-04 -1.5700e-04 2.6840e-04 2.6677e-04 3.6647e-01 7.3086e-01
6.7362e-04 7.1587e-04 -1.6262e-04 2.7833e-04 2.7663e-04 3.7328e-01 7.4441e-01
6.7985e-04 7.4212e-04 -1.6844e-04 2.8864e-04 2.8684e-04 3.8022e-01 7.5821e-01
6.8615e-04 7.6933e-04 -1.7446e-04 2.9932e-04 2.9744e-04 3.8728e-01 7.7226e-01
6.9250e-04 7.9753e-04 -1.8070e-04 3.1040e-04 3.0842e-04 3.9448e-01 7.8657e-01
6.9891e-04 8.2676e-04 -1.8715e-04 3.2188e-04 3.1980e-04 4.0182e-01 8.0115e-01
7.0538e-04 8.5705e-04 -1.9384e-04 3.3379e-04 3.3161e-04 4.0928e-01 8.1600e-01
7.1191e-04 8.8845e-04 -2.0076e-04 3.4614e-04 3.4384e-04 4.1689e-01 8.3112e-01
7.1850e-04 9.2099e-04 -2.0792e-04 3.5895e-04 3.5653e-04 4.2464e-01 8.4652e-01
7.2515e-04 9.5471e-04 -2.1534e-04 3.7223e-04 3.6969e-04 4.3253e-01 8.6221e-01
7.3187e-04 9.8966e-04 -2.2302e-04 3.8599e-04 3.8332e-04 4.4057e-01 8.7818e-01
7.3864e-04 1.0259e-03 -2.3096e-04 4.0027e-04 3.9746e-04 4.4876e-01 8.9445e-01
7.4548e-04 1.0634e-03 -2.3919e-04 4.1506e-04 4.1212e-04 4.5710e-01 9.1102e-01
7.5238e-04 1.1023e-03 -2.4770e-04 4.3041e-04 4.2731e-04 4.6560e-01 9.2789e-01
7.5935e-04 1.1426e-03 -2.5652e-04 4.4632e-04 4.4306e-04 4.7425e-01 9.4508e-01
7.6638e-04 1.1844e-03 -2.6564e-04 4.6281e-04 4.5940e-04 4.8307e-01 9.6258e-01
7.7347e-04 1.2277e-03 -2.7508e-04 4.7992e-04 4.7633e-04 4.9205e-01 9.8041e-01
7.8063e-04 1.2726e-03 -2.8486e-04 4.9765e-04 4.9388e-04 5.0119e-01 9.9856e-01
7.8786e-04 1.3191e-03 -2.9497e-04 5.1604e-04 5.1207e-04 5.1051e-01 1.0171e+00
7.9515e-04 1.3673e-03 -3.0544e-04 5.3510e-04 5.3093e-04 5.1999e-01 1.0359e+00
8.0251e-04 1.4173e-03 -3.1628e-04 5.5487e-04 5.5049e-04 5.2966e-01 1.0551e+00
8.0994e-04 1.4690e-03 -3.2750e-04 5.7536e-04 5.7076e-04 5.3950e-01 1.0746e+00
8.1744e-04 1.5226e-03 -3.3910e-04 5.9661e-04 5.9177e-04 5.4953e-01 1.0945e+00
8.2501e-04 1.5782e-03 -3.5111e-04 6.1864e-04 6.1355e-04 5.5974e-01 1.1147e+00
8.3265e-04 1.6358e-03 -3.6354e-04 6.4147e-04 6.3613e-04 5.7014e-01 1.1354e+00
8.4035e-04 1.6955e-03 -3.7641e-04 6.6516e-04 6.5954e-04 5.8073e-01 1.1564e+00
8.4813e-04 1.7573e-03 -3.8972e-04 6.8970e-04 6.8380e-04 5.9153e-01 1.1778e+00
8.5599e-04 1.8214e-03 -4.0349e-04 7.1516e-04 7.0896e-04 6.0252e-01 1.1996e+00
8.6391e-04 1.8878e-03 -4.1774e-04 7.4154e-04 7.3503e-04 6.1371e-01 1.2218e+00
8.7191e-04 1.9566e-03 -4.3249e-04 7.6891e-04 7.6205e-04 6.2512e-01 1.2444e+00
8.7998e-04 2.0279e-03 -4.4775e-04 7.9727e-04 7.9007e-04 6.3673e-01 1.2674e+00
8.8813e-04 2.1018e-03 -4.6354e-04 8.2668e-04 8.1911e-04 6.4856e-01 1.2908e+00
8.9635e-04 2.1783e-03 -4.7988e-04 8.5716e-04 8.4921e-04 6.6061e-01 1.3147e+00
9.0465e-04 2.2576e-03 -4.9678e-04 8.8877e-04 8.8041e-04 6.7289e-01 1.3390e+00
9.1302e-04 2.3398e-03 -5.1427e-04 9.2154e-04 9.1276e-04 6.8539e-01 1.3638e+00
9.2147e-04 2.4249e-03 -5.3236e-04 9.5551e-04 9.4628e-04 6.9812e-01 1.3890e+00
