# k[h/Mpc]   R1   R2 
# 
1.4490e-02 2.8320e+02 -5.8830e+01
1.4625e-02 2.8835e+02 -5.9785e+01
1.4760e-02 2.9356e+02 -6.0748e+01
1.4897e-02 2.9884e+02 -6.1721e+01
1.5034e-02 3.0419e+02 -6.2703e+01
1.5174e-02 3.0960e+02 -6.3693e+01
1.5314e-02 3.1508e+02 -6.4692e+01
1.5456e-02 3.2063e+02 -6.5698e+01
1.5599e-02 3.2624e+02 -6.6714e+01
1.5743e-02 3.3191e+02 -6.7736e+01
1.5889e-02 3.3766e+02 -6.8768e+01
1.6036e-02 3.4346e+02 -6.9805e+01
1.6185e-02 3.4934e+02 -7.0853e+01
1.6335e-02 3.5527e+02 -7.1905e+01
1.6486e-02 3.6127e+02 -7.2966e+01
